client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1883,0,0,0,09/17/2026,09/17/2026 11:45:49
Action Plumbing Construction,42,0,0,0,09/17/2026,09/17/2026 11:45:49
Bauer Foundation Corp.,199,0,0,0,09/17/2026,09/17/2026 11:45:49
Canadian Pacific Kansas City,5601,0,0,0,09/17/2026,09/17/2026 11:45:49
"Capital Railroad Contracting, Inc.",97,0,0,0,09/17/2026,09/17/2026 11:45:49
EMMES,303,0,0,0,09/17/2026,09/17/2026 11:45:49
ESS Companies,2710,0,0,0,09/17/2026,09/17/2026 11:45:49
Gart Properties,340,0,0,0,09/17/2026,09/17/2026 11:45:49
Kolb Grading,120,0,0,0,09/17/2026,09/17/2026 11:45:49
Mizuho Bank,27,0,0,0,09/17/2026,09/17/2026 11:45:49
"Musselman & Hall Contractors, LLC",14,0,0,0,09/17/2026,09/17/2026 11:45:49
"Paragon Geophysical Services, Inc.",82,0,0,0,09/17/2026,09/17/2026 11:45:49
Scandroli Construction,946,0,0,0,09/17/2026,09/17/2026 11:45:49
Skyline Developers Construction LLC,16,0,0,0,09/17/2026,09/17/2026 11:45:49
The Abbey Management Company,592,0,0,0,09/17/2026,09/17/2026 11:45:49
Trinity Chemical Industries LLC,153,0,0,0,09/17/2026,09/17/2026 11:45:49
United Coal Company LLC,514,0,0,0,09/17/2026,09/17/2026 11:45:49
