client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/01/2026,07/01/2026 13:05:07
Action Plumbing Construction,42,0,0,0,07/01/2026,07/01/2026 13:05:07
Bauer Foundation Corp.,170,0,0,0,07/01/2026,07/01/2026 13:05:07
Canadian Pacific Kansas City,5542,0,0,0,07/01/2026,07/01/2026 13:05:07
"Capital Railroad Contracting, Inc.",97,0,0,0,07/01/2026,07/01/2026 13:05:07
EMMES,292,0,0,0,07/01/2026,07/01/2026 13:05:07
ESS Companies,2710,0,0,0,07/01/2026,07/01/2026 13:05:07
Gart Properties,300,0,0,0,07/01/2026,07/01/2026 13:05:07
Kolb Grading,120,0,0,0,07/01/2026,07/01/2026 13:05:07
Mizuho Bank,27,0,0,0,07/01/2026,07/01/2026 13:05:07
"Musselman & Hall Contractors, LLC",14,0,0,0,07/01/2026,07/01/2026 13:05:07
"Paragon Geophysical Services, Inc.",81,0,0,0,07/01/2026,07/01/2026 13:05:07
Scandroli Construction,904,0,0,0,07/01/2026,07/01/2026 13:05:07
Skyline Developers Construction LLC,16,0,0,0,07/01/2026,07/01/2026 13:05:07
The Abbey Management Company,572,0,0,0,07/01/2026,07/01/2026 13:05:07
Trinity Chemical Industries LLC,147,0,0,0,07/01/2026,07/01/2026 13:05:07
United Coal Company LLC,512,0,0,0,07/01/2026,07/01/2026 13:05:07
