client,id,name,plural_name,slug,icon,created_at,updated_at,sync_date
"Block Real Estate Services, LLC",69bc0d686bc195aa02a7e3af,Project,Projects,projects,folder,2026-03-19,2026-03-19,2026-06-14
Construction Management Inc.,69c55ecf8839dd8358282d9f,Project,Projects,projects,folder,2026-03-26,2026-03-26,2026-06-14
QTS Data Centers,69f0b71d7b24cf3460d0c07c,Project,Projects,projects,folder,2026-04-28,2026-04-28,2026-06-14
DEMO Client,69fa47d9ad94f1fe3056a8c5,Project,Projects,projects,folder,2026-05-05,2026-05-05,2026-06-14
